연번|자치구|대표 지번|면적(㎡)|권리산정기준일|비 고
1|강서구|화곡동 1087|60,616.1 |’22.01.20.|관리계획 승인 고시
2|강서구|화곡동 354|85,462.6 |’22.01.20.|관리계획 승인 고시
3|강서구|화곡동 359|58,477.4 |’22.01.20.|관리계획 승인 고시
4|강서구|화곡동 424|54,767 |’22.01.20.|관리계획 수립 중
5|강서구|등촌2동 515-44|65,498|’22.06.23.|관리계획 승인 고시
|강서구|등촌2동 520-3|64,191|’22.06.23./‘23.11.30.|
6|강서구|화곡6동 1130-7|67,957.1|’22.06.23.|관리계획 승인 고시
7|강서구|방화동 592-1|66,975|’22.06.23.|관리계획 승인 고시
8|강서구|공항동 55-327|96,637|’22.10.27.|관리계획 승인 고시
9|강서구|화곡6동 957|94,080|’22.01.20./’23.11.2.|관리계획 승인 고시
10|중랑구|면목동 86-3|96,993|’22.01.20.|관리계획 승인 고시(시범사업지)
11|중랑구|면목3·8동 44-6|76,525 |’22.06.23.|관리계획 승인 고시
12|중랑구|면목본동 297-28|53,120 |’22.06.23.|관리계획 승인 고시
13|중랑구|중화1동 4-30|73,625|’22.06.23.|관리계획 승인 고시
14|중랑구|망우3동 427-5|98,171 |’22.06.23.|관리계획 승인 고시
15|중랑구|면목동 152-1|88,040|’22.10.27.|관리계획 승인 고시
16|중랑구|면목동 63-1|90,102|’22.10.27.|관리계획 승인 고시
17|중랑구|망우본동 354-2|66,389|‘23.08.31.|관리계획 승인 고시
18|중랑구|중화동 329-38|99,931|‘23.08.31.|관리계획 승인 고시
19|중랑구|망우3동 474-29|81,648|‘23.11.30.|관리계획 승인 고시
20|중랑구|묵2동 243-7|62,681|‘23.11.30.|관리계획 수립 중
21|중랑구|중화2동 299-8|75,254|‘24.02.29.|관리계획 수립 중
22|중랑구|면목2동 139-52|70,868|‘24.02.22.|관리계획 수립 중
23|중랑구|면목3·8동 453-1|83,057|‘24.02.29.|관리계획 수립 중
24|금천구|시흥3동 1005|86,705 |’22.06.23.|관리계획 승인 고시
25|금천구|시흥4동 817|30,430 |’22.06.23.|관리계획 승인 고시
26|금천구|시흥5동 922-61|89,944 |’22.06.23.|관리계획 승인 고시
